Akun,Tweet,Label
https://twitter.com/amongusvibes,"@ernestprakasa KKN di Desa Penari, Warkop DKI, Pengabdi Setan 2, Dilan 1990, mencetak angka luar biasa di box office seluruh Indonesia.
 
 Nggak ada agenda representasi chindo, nggak ada aktivisme mengenal kehidupan minoritas, hanya ingin mengajak orang bersenang-senang
 
 Watch and Learn, Ernest. https://t.co/5Ci0EhwIPo",netral
https://twitter.com/JesuisNeema,@ITZYJlSU WOE INI DIA KEMBANG DESA KKN DESA PENARI 😭😭😭😭😭😭,netral
https://twitter.com/tabooteee,"@moviemenfes Film lokal gak laris bukan karena banyak penayangan film luar. Tapi emang film lokalnya aja yang kalah saing. Isinya horor gabut ama komedi garing doang. Klo film nya kurang bagus, minimal marketingnya bagus lahh.. buktinya ""kkn di desa penari"" bisa laku wlaupun filmnya garing",netral
https://twitter.com/BNGPY,"@PetirBaelish @tanyarlfes Oh! RT @PetirBaelish: @tanyarlfes Anak2 Twitter Lama dah mengalami:
 
 Mbak2 Bibit Unggul
 Amrazing vs Sabrina
 Joko Anwar Circle K
 TrioMacan2000
 Pocong Ririn
 Waluh Kukus
 Air Minum Ibu
 Chatime Skinnyfab
 KKN Desa Penari
 Ika Natassa
 Cowok Kacamata
 Safa Space
 AFI
 Sepatu Docmart",netral
https://twitter.com/pulpenpilottt,@winddflowerrr Desa penari,netral
https://twitter.com/saftaramadon_,@alhevk gatau aja kmu kades desa penari,netral
https://twitter.com/chllsfs,sempet jarang main twitter. ada kali 5 tahun. sekalinya buka cuma liat thread KKN desa penari 😭😭😭,netral
https://twitter.com/coklattcabe,KKN desa penari sih,netral
https://twitter.com/cassiotaku,"@tanyarlfes Adora Hilman (ini yg bikin balik lagi ke twitter wkwk)
 
 Chatime
 
 KKN desa penari
 
 Safa &amp; Berflower
 
 Apalagi yaa..
 Harusnya dulu ak bookmark semua :(",netral
https://twitter.com/icaputh,"@tanyarlfes SKINNYFAB, AFI, CAPPADOCIA, UGLY CAKE, KKN DESA PENARI, REINHARD",netral
https://twitter.com/zy_zzzz,@haloodhita @Langitponpel_19 Ketemu pas KKN di Desa Penari ? 😂😂,netral
https://twitter.com/txtdarislotindo,@tanyarlfes KKN di Desa Penari ga sih?,netral
https://twitter.com/ayambakar_7,Tapi sudah nonton kkn desa penari,netral
https://twitter.com/pppallganmat,His sukma still stuck in desa penari,netral
https://twitter.com/matchagranolla,"Ini mksdnya gmn y kok malah mau dikirim ke bwi, mau dikirim ke desa penari kah😭 https://t.co/uvjXALWWEv",netral
https://twitter.com/cekertireks,@optirmal Mandinya di kolam air yang di desa penari WKWKWKWWKWKW.,netral
https://twitter.com/crocuscream,"Taunya yg zaman ini, yg di menfess banyak yg gatau kecuali KKN desa penari karena pas itu aku lagi sekolah asrama dan tydack boleh bawa hp 😔🖕🏻",netral
https://twitter.com/mrohmanobet,@betemaxx @bocahkacang_ @viniranika @tanyakanrl @RzlFbrnt Iki seng ng KKN di Desa Penari ta?,netral
https://twitter.com/11ahmadYanuar,@AndrianMaul_ Kkn desa penari,netral
https://twitter.com/arynty_05,@tanyarlfes Cerita KKN di Desa penari,netral
https://twitter.com/arftri___,"@tanyarlfes Gilang bungkus, kkn desa penari,",netral
https://twitter.com/kyle39y,"KKN di desa penari
 sebelum iblis menjemput
 kkn
 lancelot",netral
https://twitter.com/yoonjiaaa_,"@tanyarlfes Safa, waluh kukus, air putih ibu, KKN desa penari, template ""orang yang ngetawain dan ngejokes tentang.."" sama paling gempar si Audrey😭",netral
https://twitter.com/spillnder,"@tanyarlfes Space safa, waluh kukus, kkn desa penari (?), afi dan 3 kepribadiannya, gilang bungkus, audrey, dan naga, imroatus, ketok2 tembok lagi malu kali, audrey
 
 Masi banyak sih terutama yg horror2 tp gue lupa, semuanya ada di like di akun satunya",netral
https://twitter.com/xixjxix_,"@HabisNontonFilm @SimpleM81378523 @Jameschne_ Brrti selama ini, cerita KKN di Desa Penari itu hanya sebagai marketing ya huhuhu😭😭😭",netral
https://twitter.com/Muybfdl,@tanyarlfes Thread sugar daddy yg dokter ama KKN di Desa Penari,netral
https://twitter.com/amaaabut,@tanyarlfes kkn desa penari sii,netral
https://twitter.com/chickenpopcorns,"@tanyarlfes lol cuma tau chatime skinnyfab, kkn desa penari, safa space, sepatu docmart. waluh kukus dama ika natassa yg mana yaa?",netral
https://twitter.com/fullminsuga,"-Ragasea
 -Anxious People
 -Perca-perca Bahasa
 -KKN di Desa Penari
 -Ivanna Van Dijk (bonus)
 -Divergent (bonus)
 -Prodigy Healer (damage)
 
 #zonauang #zonajajan #zonajajan #ZonaBA",netral
https://twitter.com/rawmpok,HE IS BIMA KAN ... yang kkn desa penari????,netral
