Abstrak,Topik 1,Topik 2,Topik 3,Topik 4,Sum
materi struktur dasar algoritma pemrograman materi membahas alur logika penyelesaian mempelajari materi struktur dasar algoritma pemrograman siswa dituntut memiliki kemampuan berfikir logis penelitian bertujuan mengembangkan media pembelajaran struktur dasar algoritma pemrograman game edukasi berbasis android membantu siswa memahami materi struktur dasar algoritma pemrograman mata pelajaran pemrograman dasar penelitian metode penelitian pengembangan mengikuti model pengembangan addie analysis design development implementation evaluation penelitian tahap uji coba memperoleh nilai efektivitas efisiensi daya tarik produk uji coba ahli isimateri uji coba ahli rancangan media ketiga uji coba perorangan keempat uji coba kelompok uji coba kelompok hasil penelitian nilai diperoleh game edukasi ahli materi nilai kualifikasisangat ahli rancangan media diperoleh nilai kualifikasi uji coba siswa perorangan diperoleh nilai kualifikasi uji coba siswa kelompok diperoleh nilai kualifikasi uji coba siswa kelompok diperoleh nilai kualifikasi game edukasi dikembangkan memiliki nilai efektifitas efisiensi daya tarik media pembelajaran struktur dasar algoritma pemrograman,0.0006974406431998381,0.0006974420238090878,0.9979076636734476,0.0006974536595434924,1.0
mata pelajaran sistem komputer siswa memahami materi sistem bilangan materi kompetensi wajib dimiliki jurusan teknik komputer jaringan rekayasa perangkat lunak kalangan smartphone android alat komunikasi transfer informasi peserta didik tingkat smk sekolah menengah kejuruan sederajat memiliki smartphone android siswa memanfaatkan smartphone android siswa smartphone android kelas baiknya media pembelajaran memanfaatkan smartphone android penelitian menciptakan media pembelajaran augmented reality berbasis android materi sistem bilangan single marker penelitian model kemp and dayton langkah perencanaan produksi media pembelajaran preliminary planning the kinds of media designing the media producing the media using and evaluating media penelitian berdasarkan uji coba ahli validasi produk ahli materi nilai ratarata prosentase menghasilkan kualifikasi membuktikan isi materi media sisbil ar sesuai tujuan pembelajaran hasil penelitian validasi produk ahli media nilai ratarata prosentase menghasilkan kualifikasi membuktikan media sisbil ar membantu pembelajaran uji coba produk siswa perorangan nilai ratarata prosentase menghasilkan kualifikasi uji coba produk siswa kelompok nilai ratarata prosentase menghasilkan kualifikasi uji coba produk siswa kelompok nilai ratarata prosentase menghasilkan kualifikasi membuktikan media sisbil ar meningkatkan daya tarik pemahaman siswa berdasarkan hasil penelitian pengembang menyarankan guru menciptakan media pembelajaran augmented reality berbasis android materi siswa memahami konversi bilangan siswa menyelesaikan latihan pengembang menciptakan augmented reality multiple marker katakata kunci media pembelajaran augmented reality sisbil ar marker,0.45232529257711496,0.0004845663140263761,0.5467055128197003,0.00048462828915843756,1.0
penelitian bertujuan pengaruh media pembelajaran elearning berbasis moodle hasil belajar siswa materi javascript penelitian dilaksanakan april metode quasi experiment desain pretest posttest pengambilan data sampel mengggunakan teknik purposive sampling sampel penelitian siswa kelas eksperimen siswa kelas kontrol pengambilan data instrumen tes pilihan ganda analisis data ujit hasil penelitian diperoleh ho ditolak ha diterima pengaruh media pembelajaran elearning berbasis moodle hasil belajar siswa materi javascript kelas x tkj smk negeri labang ratarata hasil belajar siswa mengalami peningkatan pretest kelas eksperimen posttest kelas eksperimen sedangkam pretest kelas kontrol posttest kelas kontrol uji kelayakan diperoleh hasil ratarata kesimpulan media elearning berbasis moodle layak penelitian angket respon siswa elearning memperoleh respon nilai ratarata,0.0009227145302897364,0.0009226175127553646,0.06394001643342075,0.9342146515235341,1.0
abstrak penelitian bertujuan profil berpikir kritis siswa kelas x tkj ditinjau kemampuan siswa materi struktur kontrol percabangan smkn bangkalan penelitian jenis penelitian deskriptif kualitatif penelitian menemukan siswa kemampuan memahami maksud alasan relevan kesimpulan beralasan informasi dimiliki istilah dituliskan overview selesai siswa kemampuan memahami maksud alasan relevan kesimpulan informasi istilah dituliskan overview siswa kemampuan rendah memahami alasan kesimpulan informasi istilah dituliskan overview katakata kunci berpikir kritis kemampuan struktur kontrol percabangan,0.0014623703813621057,0.0014620649483825553,0.9956131564798599,0.001462408190395381,0.9999999999999999
mata pelajaran pemrograman dasar salah mata pelajaran jurusan rekayasa perangkat lunak mata pelajaran pemrograman dasar materi struktur algoritma pemrograman berdasarkan observasi terbatasnya media guru penerapan materi struktur algoritma pemrograman siswa termotivasi belajar algoritma pemrograman siswa tertarik belajar algoritma pemrograman penyampaian materi guru metode ceramah mengajar siswa mengembangkan materi guru kelas kurangnya media komputer laptop dimiliki siswa berdasarkan peneliti menawarkan solusi media pembelajaran berbentuk rancang blok penelitian bertujuan kualitas respon siswa game edukasi struktur algoritma pemrograman unity berbasis android media pembelajaran pemrograman dasar smk bahrul ulum surabaya penelitian metode penelitian pengembangan model pengembangan addie dimana langkahlangkah pengembangan tahapan menentukan analisa analyze perancangan desain design pengembangan development implementasi inplementation evaluasi evaluation hasil penelitian ratarata didapatkan uji kualifikasi revisi,0.0008593612239529897,0.0008592909561433519,0.8005660204966262,0.19771532732327746,1.0
perpustakaan mencari sumber pustaka akurat sesuai pengguna perpustakaan berfungsi penyedia sumber pustaka memiliki sistem pelayanan memudahkan penggunanya menemukan sumber pustaka pelayanan berhubungan pekembangan teknologi informasi pesat pengguna perpustakaan sadar informasi mengakibatkan tuntutan mutu layanan perpustakaan tujuan penelitian mengembangkan sistem pencarian informasi buku berbasis web moving contracting window pattern algorithm mcwpa pelayanan informasi koleksi buku perpustakaan smkn bangkalan penelitian metode pengembangan model addie tahapan analyze analisis design desain development pengembangan implementation implementasi evaluation evaluasi peneliti menemukan akses admin sesuai output diharapkan algoritma mcwpa menu pencarian performa menampilkan hasil pencarian akurat sistem pencarian informasi buku berbasis web mcwpa layak operasional siswa smkn bangkalan,0.9970409698460888,0.0009862937844306414,0.0009864337129670859,0.0009863026565134175,1.0
abstra tujuan penelitian menghasilkan pengembangan media pembelajaran trainer komputer mata pelajaran produktif materi perakitan komputer kelas sepulu teknik komputer jaringan tkj desain realisasi unjuk kerja tingkat kelayakan media pembelajaran trainer komputer teori perakitan komputer penelitian penelitian pengembangan berpedoman model pengembangan four d models d model penelitian pengembangan tahapan definisi desain pengembangan penyebaran kelayakan media trainer komputer tergantung uji coba masingmasing ahli siswa media pembelajaran diuji orang ahli ahli media ahli materi ahli isi uji coba siswa kelas sepulu teknik komputer jaringan tkj uji coba perseorangan uji coba kelompok uji coba kelompok metode pengumpulan data angket hasil analisis kualitas media dihasilkan sebaiberikut uji kelayakan media pembelajaran ahli memperoleh persentase total ahli materi memperoleh pesentase hasil ujicoba perseorangan memperoleh hasil ujicoba kelompok memperoleh hasil ujicoba kelompok memperoleh disimpulkan media pembelajaran trainer komputer meningkatkan kualitas pembelajaran,0.017991267547056683,0.0007612072169730663,0.9804863387748913,0.000761186461078904,1.0
mata pelajaran matematika materi bangun ruang kelas mata pelajaran mengajarkan siswa jaringjaring sifatsifat bangun ruang mengajarkan materi terkait bangun ruang guru media buku media buku dirasa maksimal menyajikan materi bentuk teks gambar siswa mudah jenuh inovasi terkait media pembelajaran media pembelajaran game educative berbasis android salah solusi pembelajaran matematika menarik game educative media pembelajaran memanfaatkan perkembangan teknologi mpi multimedia pembelajaran interaktif penelitian bertujuan mengembangkan game educative berbasis android mata pelajaran matematika materi bangun ruang siswa sekolah dasar pengembangan game educative bertujuan mempermudah siswa belajar mandiri dimanapun perangkat android penelitian metode penelitian pengembangan model pengembangan d tahap difine pendefinisian design desain development pengembangan dissemination penyebarluasan berdasarkan hasil penelitian peneliti menemukan siswa senang belajar game educative berbasis android bermain belajar game educative berbasis android menambah minat belajar siswa game educative berbasis android layak bahan ajar,0.18149834268460338,0.0007553899647189905,0.5198372347262031,0.29790903262447466,1.0000000000000002
pengembangan media pembelajaran elearning berbasis web dilatar belakangi keterbatasan fasilitas jaringan internet memiliki kecepatan yangrendah siswa edmodo bersamaan kecepatan internet menurun mengakibatkan pembelajaran terbuang inovasi mengembangkan media pembelajaran pengembangan bertujuan mengembangkan media pembelajaran elearning berbasis web siswa kelas x teknik komputer jaringan mata pelajaran pemrograman web metode pengembangan metode pengembangan mengembangkan menguji kelayakan produk media prosedur pengembangan mengikuti prosedur addie diadaptasi mulyatiningsihtahapan identifikasi analisis desain pengembangan implementasi evaluasi instrumen pengembangan angket teknik analisis data teknik statistik deskriptif kuantitatif hasil penelitian pengembangan penilaian validasi ahli media pembelajaran penilaian validasi ahli materi penilaian uji coba perorangan penilaian uji coba kelompok penilaian uji coba kelompok hasil media pembelajaran elearning berbasis web layak media pembelajaran pemrograman web,0.000889908083164648,0.0008897412014150627,0.9973304797582917,0.0008898709571285957,1.0
penelitian bertujuan pengaruh media pembelajaran teks editor sublime text minat belajar siswa mata pelajaran pemrograman web bahasan style halaman web penelitian dilaksanakan mei penelitian metode true experimental design jenis pretestpostest control group design teknik sampel random sampling sampel penelitian siswa kelas ekperimen siswa kelas kontrol pengambilan data intrumen angket kuisioner pernyataan favorable unfavorable analisis data uji t signifikasi hasil penelitian diperoleh thitung ttabel ho ditolak ha diterima disimpulkan pengaruh penerapan sublime text minat belajar siswa mata pelajaran pemrograman web bahasan style halaman web smk al hikam ratarata hasil posttest ekasperimen minat siswa mengalami peningkatan posttest kelas kontrol posttest kelas kontrol nilai ratarata aktivitas siswa kelas kontrol memperoleh denga kategori nilai ratarata kelas eksperimen memperoleh kategori nilai ratarata aktivitas guru kelas kontrol kelas ekperimen memperoleh ketegori berdasarkan hasil penelitian disimpulkan penggunaan teks editor sublime teks mempengaruhi minat belajar siswa mata pelajaran pemrograman web,0.0007074520028145101,0.0007072788836375812,0.000707353240331816,0.9978779158732161,1.0
